Day_of_Week_Name,Total_Items,Void_Count,Void_Rate,Day_of_Week
Monday,1205,45,0.03734439834024896,0
Tuesday,3948,137,0.03470111448834853,1
Wednesday,16074,430,0.026751275351499317,2
Thursday,29631,809,0.027302487259964228,3
Friday,70503,1237,0.0175453526800278,4
Saturday,108144,2138,0.019769936381121466,5
Sunday,75422,1793,0.02377290445758532,6
