Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
Toki,107,1657,Star,0,3,80.0,87,0.0,0.034482758620689655
Tonic Water,227,440,Star,9,13,1614.0,106,0.08490566037735849,0.12264150943396226
Topo Chico,7893,46742,Star,344,819,106907.0,5483,0.06273937625387561,0.14937078241838408
Tres Generaciones Añejo,31,413,Star,0,17,870.0,19,0.0,0.8947368421052632
Trice Nichols,1,25,Dog,0,0,0.0,1,0.0,0.0
Trinidad Sour,1,15,Dog,0,0,0.0,1,0.0,0.0
Truffle Fries,6,16,Dog,0,0,0.0,6,0.0,0.0
Tube Top,6,240,Dog,6,0,0.0,6,1.0,0.0
Tuna,22,154,Plowhorse,0,2,110.0,20,0.0,0.1
Tuna Tostada,1,0,Dog,0,1,23.0,1,0.0,1.0
Tuna Wonton Tacos,139,1681,Star,2,69,4603.0,138,0.014492753623188406,0.5
Tx Whiskey,6,90,Dog,0,0,0.0,1,0.0,0.0
UNTI 2019,2,164,Dog,0,0,0.0,2,0.0,0.0
"USA - Schramsberg, Blanc de Blancs",1,99,Dog,0,1,66.0,1,0.0,1.0
"Urquell, Pilsner",7,42,Dog,0,2,8.0,7,0.0,0.2857142857142857
Valerie Craff 01.11.2024,1,100,Dog,0,0,0.0,1,0.0,0.0
Valet,30,150,Plowhorse,0,1,400.0,1,0.0,1.0
Vesper,84,1149,Star,2,12,5967.0,80,0.025,0.15
Veuve Clicquot GL,29,919,Star,5,7,540.0,27,0.18518518518518517,0.25925925925925924
"Veuve Clicquot, Brut",823,95775,Star,57,510,135274.0,753,0.07569721115537849,0.6772908366533864
"Veuve Clicquot, Rosé",100,19946,Star,13,19,7178.0,91,0.14285714285714285,0.2087912087912088
Vodka Martini,671,8899,Star,26,202,6467.0,638,0.04075235109717868,0.3166144200626959
Voodoo Ranger IPA,344,2442,Star,10,76,9879.0,323,0.030959752321981424,0.23529411764705882
Wagyu Yakatori,18,324,Plowhorse,0,1,88.0,16,0.0,0.0625
Water,5,0,Dog,0,3,259.0,5,0.0,0.6
Watermelon Smash,1,16,Dog,0,1,16.0,1,0.0,1.0
Watermelon Smash (THU),20,218,Plowhorse,0,0,0.0,20,0.0,0.0
Watet,2,0,Dog,0,0,0.0,2,0.0,0.0
Waystar Rumco,1814,25817,Star,44,502,34548.0,1755,0.02507122507122507,0.28603988603988606
Weber Ranch Agave,80,1080,Star,0,10,895.0,29,0.0,0.3448275862068966
Weller 12,30,545,Star,2,5,407.0,25,0.08,0.2
Weller Antique 107,2,70,Dog,0,0,0.0,2,0.0,0.0
Whispering Angel,1,46,Dog,0,1,6.0,1,0.0,1.0
Whistlepig 10,45,1457,Star,0,12,1258.0,40,0.0,0.3
White Chocolate Peppermint Martini,142,2088,Star,1,30,2023.0,140,0.007142857142857143,0.21428571428571427
White Collar Crime,3276,45229,Star,48,1016,90254.0,3053,0.015722240419259743,0.3327874222076646
White Collar Whisper,42,380,Plowhorse,1,1,64.0,24,0.041666666666666664,0.041666666666666664
White Stergeon 1 oz,1,156,Dog,0,0,0.0,1,0.0,0.0
Whole Cluster BTL,5,95,Dog,0,4,271.0,5,0.0,0.8
Wild Turkey Rare Breed Bourbon,9,146,Dog,1,0,0.0,9,0.1111111111111111,0.0
Wild Turkey Rare Breed Rye,3,68,Dog,0,1,6.0,3,0.0,0.3333333333333333
Wolf of 11th Street,6555,95074,Star,89,1675,138818.0,6156,0.014457439896036386,0.2720922677063028
Wonton Taco 1,1,5,Dog,0,0,0.0,1,0.0,0.0
Woodford Reserve,1522,24405,Star,24,169,13581.0,1244,0.01929260450160772,0.13585209003215434
Woodford Reserve Double Oak,66,1150,Star,0,16,1036.0,56,0.0,0.2857142857142857
Woodford Spire- Derby (SAT),6,96,Dog,0,1,210.0,5,0.0,0.2
Work From Home,366,4882,Star,6,81,5198.0,306,0.0196078431372549,0.2647058823529412
Work from home,162,1900,Star,2,94,6017.0,157,0.012738853503184714,0.5987261146496815
Write Off Roll,3,63,Dog,0,0,0.0,3,0.0,0.0
Yamazaki 12,38,1734,Star,4,4,100.0,34,0.11764705882352941,0.11764705882352941
"Yuengling, Lager",1527,9356,Star,19,250,23397.0,1422,0.013361462728551337,0.17580872011251758
Zacapa Julep (FRI),16,256,Plowhorse,0,0,0.0,2,0.0,0.0
Zayb,1,500,Puzzle,0,0,0.0,1,0.0,0.0
Zephyr,5,82,Dog,0,0,0.0,5,0.0,0.0
Zephyr G&T,1,8,Dog,0,0,0.0,1,0.0,0.0
"Zinfandel - Saldo, California",8,413,Puzzle,1,3,230.0,8,0.125,0.375
