Menu Item,Qty_Sold,Total_Revenue,BCG_Matrix,Void_Count,Discount_Count,Total_Discount_Amt,Transaction_Count,Item_Void_Rate,Item_Discount_Freq
BTL Dos Hombres Joven 750ml,6,1750,Puzzle,3,2,2300.0,6,0.5,0.3333333333333333
BTL Flor de Caña,1,200,Dog,0,1,100.0,1,0.0,1.0
BTL Fortaleza Blanco,3,2100,Puzzle,2,1,2000.0,3,0.6666666666666666,0.3333333333333333
BTL Fortaleza Reposado,3,2850,Puzzle,1,1,150.0,3,0.3333333333333333,0.3333333333333333
BTL Glenlivet 18,1,1000,Puzzle,0,1,200.0,1,0.0,1.0
BTL Grey Goose 1.75L,60,29579,Star,10,11,2566.0,60,0.16666666666666666,0.18333333333333332
BTL Grey Goose 1L,347,117380,Star,21,45,8447.0,342,0.06140350877192982,0.13157894736842105
BTL Hendricks,17,5400,Star,0,0,0.0,17,0.0,0.0
BTL Hennessy VSOP,3,1692,Puzzle,0,1,500.0,3,0.0,0.3333333333333333
BTL Herradura Blanco,1,350,Dog,0,0,0.0,1,0.0,0.0
BTL Herradura Reposado,7,1425,Puzzle,1,4,1065.0,7,0.14285714285714285,0.5714285714285714
BTL JW Black,45,15800,Star,4,11,2314.0,45,0.08888888888888889,0.24444444444444444
BTL JW Blue 750ml,7,4788,Puzzle,1,5,1950.0,7,0.14285714285714285,0.7142857142857143
BTL Jameson,1,550,Puzzle,0,0,0.0,1,0.0,0.0
BTL Ketel One 1.75L,12,6000,Star,2,0,0.0,12,0.16666666666666666,0.0
BTL Ketel One 1L,52,15980,Star,2,9,3921.0,50,0.04,0.18
BTL LUCIEN,6,360,Dog,0,6,372.0,6,0.0,1.0
BTL Lalo,24,8000,Star,1,6,2570.0,24,0.041666666666666664,0.25
BTL Macallan 12 yrs,19,12526,Star,4,6,1205.0,19,0.21052631578947367,0.3157894736842105
BTL Macallan 18yrs 750ml,1,1500,Puzzle,1,1,14.0,1,1.0,1.0
BTL Makers,4,1500,Puzzle,1,1,100.0,4,0.25,0.25
BTL Ojo de Tigre,1,0,Dog,0,1,508.0,1,0.0,1.0
BTL Pinot Grigo House,1,30,Dog,0,0,0.0,1,0.0,0.0
BTL Ron Zacapa 23,4,1400,Puzzle,2,2,200.0,4,0.5,0.5
BTL Tanqueray 10 1L,4,1200,Puzzle,0,1,16.0,4,0.0,0.25
BTL Tanqueray Ten 1L,4,1200,Puzzle,1,1,10.0,4,0.25,0.25
BTL Tequila Ocho,12,5056,Star,0,4,2744.0,12,0.0,0.3333333333333333
BTL Titos,71,20613,Star,7,13,4616.0,72,0.09722222222222222,0.18055555555555555
BTL Woodford Reserve 750ml,22,7500,Star,0,3,221.0,22,0.0,0.13636363636363635
BYOBloodyMary,1,12,Dog,0,0,0.0,1,0.0,0.0
Bacardi,73,1098,Star,1,6,1320.0,56,0.017857142857142856,0.10714285714285714
Back In My Day,814,12706,Star,11,165,35028.0,714,0.015406162464985995,0.23109243697478993
Bacon,1,6,Dog,0,0,0.0,1,0.0,0.0
Bailey's,132,1648,Star,5,31,10781.0,118,0.0423728813559322,0.2627118644067797
Baker's 7yrs,9,179,Dog,1,4,672.0,8,0.125,0.5
Balvenie 12yrs,96,2454,Star,1,15,1018.0,80,0.0125,0.1875
Balvenie 14yrs,34,1046,Star,0,7,52.0,31,0.0,0.22580645161290322
Banana OF,73,710,Star,0,42,5208.0,42,0.0,1.0
Banquet,57,828,Star,13,14,5460.0,14,0.9285714285714286,1.0
Banshee GL,84,1148,Star,5,14,715.0,78,0.0641025641025641,0.1794871794871795
Barcadi 8,276,4061,Star,9,24,1816.0,246,0.036585365853658534,0.0975609756097561
Basil Hayden's,243,4911,Star,11,24,1295.0,209,0.05263157894736842,0.11483253588516747
Basil Hayden's Toast,25,479,Star,1,7,266.0,20,0.05,0.35
Bb,1,2400,Puzzle,1,0,0.0,1,1.0,0.0
Beef Quesadilla,51,300,Plowhorse,5,31,956.0,48,0.10416666666666667,0.6458333333333334
Beef Quesadillas,44,370,Plowhorse,4,14,696.0,44,0.09090909090909091,0.3181818181818182
Beef Slider,72,550,Star,2,8,2119.0,11,0.18181818181818182,0.7272727272727273
Beef Tacos,5,50,Dog,1,3,36.0,5,0.2,0.6
Beef and Rice,65,550,Star,3,13,176.0,61,0.04918032786885246,0.21311475409836064
Beluga Hybrid 1 oz,1,239,Dog,0,0,0.0,1,0.0,0.0
Belvedere,1305,22618,Star,29,126,13413.0,957,0.030303030303030304,0.13166144200626959
Benedictine,1,0,Dog,0,1,14.0,1,0.0,1.0
Berry By The Book,53,600,Star,3,16,3806.0,47,0.06382978723404255,0.3404255319148936
Beso de Fresa- Cinco de Mayo,8,112,Dog,0,2,339.0,8,0.0,0.25
Beso de Fresa- Cinco de Mayo Astral,20,320,Plowhorse,2,0,0.0,17,0.11764705882352941,0.0
Best of 3,7,140,Dog,0,1,18.0,7,0.0,0.14285714285714285
Big Rx,1,20,Dog,1,0,0.0,1,1.0,0.0
Birria Crunchwrap Supreme,116,1532,Star,6,57,5738.0,112,0.05357142857142857,0.5089285714285714
Birria Tacos,28,432,Star,1,4,74.0,26,0.038461538461538464,0.15384615384615385
Black Manhattan,11,132,Dog,1,0,0.0,11,0.09090909090909091,0.0
Blackberry Mocktail,367,4210,Star,7,73,7672.0,344,0.020348837209302327,0.21220930232558138
Blackened Salmon,9,168,Dog,0,3,88.0,9,0.0,0.3333333333333333
Blade & Bow Bourbon,1,17,Dog,0,0,0.0,1,0.0,0.0
Blade & Bow Paper Plane Whiskey Day,19,304,Plowhorse,0,0,0.0,12,0.0,0.0
Blanton's Bourbon,164,5934,Star,6,30,2278.0,147,0.04081632653061224,0.20408163265306123
Block Ice,1,10,Dog,0,0,0.0,1,0.0,0.0
Blood Money Margarita,29,458,Star,0,1,12.0,28,0.0,0.03571428571428571
"Blue Moon, White",1256,7691,Star,20,167,13251.0,1184,0.016891891891891893,0.14104729729729729
Board,2,600,Puzzle,0,0,0.0,2,0.0,0.0
Board & Bottle,467,13874,Star,10,220,5849.0,507,0.01972386587771203,0.4339250493096647
Boards,1,300,Dog,1,0,0.0,1,1.0,0.0
Bodyguard- Sir Davis,35,528,Star,0,2,88.0,27,0.0,0.07407407407407407
Bombay Sapphire,805,11155,Star,19,99,4611.0,734,0.025885558583106268,0.13487738419618528
Bottle Replacememt*,1,50,Dog,1,0,0.0,1,1.0,0.0
Bottle Service Minimum,1,283,Dog,1,0,0.0,1,1.0,0.0
Bottomless Fries,1,20,Dog,0,1,7.0,1,0.0,1.0
Bouchaine BTL,1,75,Dog,0,0,0.0,1,0.0,0.0
Bouchaine GL,31,486,Star,3,7,1253.0,27,0.1111111111111111,0.25925925925925924
Boulevardier,84,1153,Star,4,18,500.0,80,0.05,0.225
Bowl Blueberries,1,5,Dog,0,0,0.0,1,0.0,0.0
Braised Short Rib Sliders,82,1150,Star,4,36,4038.0,71,0.056338028169014086,0.5070422535211268
Break Room Breakfast,242,1848,Star,3,31,2463.0,121,0.024793388429752067,0.256198347107438
Break Shot,47,406,Star,1,3,100.0,23,0.043478260869565216,0.13043478260869565
Break room breakfast,112,863,Star,1,47,2701.0,76,0.013157894736842105,0.618421052631579
Breast Regards Sour,35,470,Star,0,17,910.0,33,0.0,0.5151515151515151
Brunch Board,2053,51034,Star,65,900,56372.0,2179,0.029830197338228545,0.4130335016062414
Btl Jameson,1,400,Puzzle,0,0,0.0,1,0.0,0.0
Buddi Seltzer-  Strawberry Fields,2,30,Dog,0,0,0.0,2,0.0,0.0
Buddi Seltzer- Berry Lime Bliss,2,30,Dog,0,0,0.0,2,0.0,0.0
Buddi THC,14,157,Plowhorse,1,6,372.0,14,0.07142857142857142,0.42857142857142855
Buffalo Trace,612,9758,Star,8,54,8640.0,557,0.01436265709156194,0.09694793536804308
Bulk Wine,2,18300,Puzzle,1,0,0.0,2,0.5,0.0
Bulleit Bourbon,605,9247,Star,2,54,8748.0,517,0.0038684719535783366,0.10444874274661509
Bulleit Rye,140,2158,Star,5,13,998.0,124,0.04032258064516129,0.10483870967741936
Bulleit Rye Old Fashion Whiskey Day,13,208,Plowhorse,0,0,0.0,5,0.0,0.0
Bulliet Rye,494,7630,Star,3,64,1781.0,430,0.0069767441860465115,0.14883720930232558
Bumps & Bubbles,14,222,Plowhorse,0,2,1852.0,2,0.0,1.0
Burrata Board,96,5478,Star,14,35,1322.0,107,0.1308411214953271,0.32710280373831774
Bushmills,268,2669,Star,5,12,2198.0,143,0.03496503496503497,0.08391608391608392
Business Casual,8,128,Dog,0,1,18.0,8,0.0,0.125
Ca. Sauv. - DAOU,9,600,Puzzle,0,2,150.0,11,0.0,0.18181818181818182
Cab,1,30,Dog,0,0,0.0,1,0.0,0.0
"Cab. Franc - Tessier ""Camino Alto""",8,480,Puzzle,1,1,8.0,8,0.125,0.125
"Cab. Sauv. - Caymus, Napa Valley (1L)",33,4528,Star,3,9,12998.0,32,0.09375,0.28125
"Cab. Sauv. - Sextant, Paso Robles",10,472,Puzzle,3,2,1397.0,9,0.3333333333333333,0.2222222222222222
"Cab. Sauv. - Slate, High Valley",4,326,Dog,1,0,0.0,7,0.14285714285714285,0.0
Cake Cutting Fee,5,155,Dog,0,2,410.0,5,0.0,0.4
Cake Fee,1,0,Dog,0,1,133.0,1,0.0,1.0
Calirosa Blanco,264,4221,Star,0,43,2342.0,162,0.0,0.2654320987654321
Calirosa Repo,51,970,Star,2,4,46.0,35,0.05714285714285714,0.11428571428571428
Campari,71,883,Star,0,8,436.0,57,0.0,0.14035087719298245
Cappuccino,13,0,Plowhorse,0,0,0.0,13,0.0,0.0
Captain Morgan,403,5592,Star,1,38,1644.0,361,0.002770083102493075,0.10526315789473684
Carajillo,12038,181439,Star,110,1971,160727.0,10635,0.010343206393982134,0.18533145275035262
Caramel Macchiato,1556,22237,Star,13,435,19811.0,1466,0.008867667121418827,0.2967257844474761
Caravedo Pisco Quebranta,40,557,Star,2,4,58.0,36,0.05555555555555555,0.1111111111111111
Carne Asada Fried Rice,182,2459,Star,8,92,6900.0,176,0.045454545454545456,0.5227272727272727
Carpano Antica Formula,1,14,Dog,1,0,0.0,1,1.0,0.0
Casa Dragones Añejo,5,325,Dog,1,0,0.0,3,0.3333333333333333,0.0
Casa Dragones Blanco,184,3993,Star,0,22,2445.0,114,0.0,0.19298245614035087
Casa Dragones Reposado,53,2091,Star,4,2,132.0,31,0.12903225806451613,0.06451612903225806
Casa Migos Substitue,1,50,Dog,0,1,266.0,1,0.0,1.0
Casa Spicy,1,15,Dog,0,0,0.0,1,0.0,0.0
Casa de Sol Añejo,37,882,Star,1,8,577.0,28,0.03571428571428571,0.2857142857142857
Casa de Sol añejo,35,919,Star,1,4,82.0,22,0.045454545454545456,0.18181818181818182
Casa del Sol,149,2605,Star,2,12,1310.0,104,0.019230769230769232,0.11538461538461539
Casa del Sol Reposado,23,444,Star,0,0,0.0,14,0.0,0.0
Casamigos Blanco,415,6695,Star,9,33,4237.0,277,0.032490974729241874,0.11913357400722022
Casamigos Cristalino,520,9953,Star,11,70,2886.0,339,0.032448377581120944,0.20648967551622419
Casamigos Reposado,24824,378625,Star,268,2540,326764.0,15910,0.01684475172847266,0.1596480201131364
Casamigos Upcharge,1,50,Dog,0,0,0.0,1,0.0,0.0
Cassis Margarita,18,216,Plowhorse,0,0,0.0,12,0.0,0.0
Caviar,2,20,Dog,0,0,0.0,2,0.0,0.0
Caymus BTL,5,618,Puzzle,0,2,613.0,3,0.0,0.6666666666666666
Centenario,1,16,Dog,0,0,0.0,1,0.0,0.0
Centenario Reposado,4,64,Dog,0,0,0.0,2,0.0,0.0
Chairman's Reserve Spiced,10,134,Dog,2,2,160.0,8,0.25,0.25
"Champ. - André Clouet, Rosé",1,119,Dog,0,0,0.0,1,0.0,0.0
"Champ. - Dom Pérignon, Brut '13",4,2800,Puzzle,1,0,0.0,4,0.25,0.0
"Champ. - Dom Pérignon, LUMINOUS, Brut '12",10,7200,Puzzle,0,2,12682.0,9,0.0,0.2222222222222222
"Champ. - Dom Pérignon, LUMINOUS, Brut MAGNUM '10",1,1400,Puzzle,1,0,0.0,1,1.0,0.0
"Champ. - Dom Pérignon, LUMINOUS, Rosé '08",3,3000,Puzzle,2,0,0.0,3,0.6666666666666666,0.0
"Champ. - Louis Revoir, Brut",2,198,Dog,1,0,0.0,2,0.5,0.0
"Champ. - Madame Zéro, Rosé",5,750,Puzzle,0,0,0.0,5,0.0,0.0
"Champ. - Moët & Chandon, Brut",5,749,Puzzle,0,2,108.0,4,0.0,0.5
"Champ. - Ruinart, Blanc de Blancs",1,250,Dog,0,0,0.0,1,0.0,0.0
"Champ. - Veuve Clicquot, Brut",30,4622,Star,3,8,13198.0,28,0.10714285714285714,0.2857142857142857
"Champ. - Veuve Clicquot, Brut MAGNUM",6,2700,Puzzle,0,0,0.0,6,0.0,0.0
"Champ. - Veuve Clicquot, Rosé",12,2160,Star,0,1,28.0,10,0.0,0.1
Charcuterie  Board,1,55,Dog,0,0,0.0,1,0.0,0.0
Charcuterie Board,2,250,Dog,0,2,986.0,2,0.0,1.0
"Chardonnay - J Vineyards, Russian River Valley",4,168,Dog,0,1,28.0,4,0.0,0.25
Chardonnay - Sonoma Cutrer,10,572,Puzzle,0,6,204.0,10,0.0,0.6
Charge,1,0,Dog,0,0,0.0,1,0.0,0.0
Chartreuse Green,75,1320,Star,1,5,270.0,50,0.02,0.1
Chartreuse Yellow,3,68,Dog,0,0,0.0,2,0.0,0.0
Chateau Miraval BTL,8,480,Puzzle,0,2,24.0,8,0.0,0.25
Chateau Miraval GL,23,352,Plowhorse,2,3,201.0,22,0.09090909090909091,0.13636363636363635
Cheese & Tomato Soup Bites,1,0,Dog,0,1,6.0,1,0.0,1.0
Cherry Heering,3,36,Dog,3,3,48.0,3,1.0,1.0
Chicken,1,6,Dog,0,1,52.0,1,0.0,1.0
Chicken Quesadilla,95,544,Star,5,59,1735.0,90,0.05555555555555555,0.6555555555555556
Chicken Quesadillas,65,570,Star,4,11,101.0,62,0.06451612903225806,0.1774193548387097
Chicken Tacos,3,20,Dog,1,2,22.0,3,0.3333333333333333,0.6666666666666666
Chicken and Rice,27,220,Plowhorse,1,5,66.0,26,0.038461538461538464,0.19230769230769232
Chickens,3,48,Dog,0,0,0.0,3,0.0,0.0
Chili Dandy,99,990,Star,24,25,9750.0,25,0.96,1.0
Chinola,4,36,Dog,3,1,24.0,4,0.75,0.25
Chipotle Shrimp Tartine,11,111,Dog,1,4,488.0,11,0.09090909090909091,0.36363636363636365
Chips,4,21,Dog,0,1,6.0,4,0.0,0.25
Chips & Dips,46,216,Plowhorse,8,20,1573.0,33,0.24242424242424243,0.6060606060606061
Chips & Guac,6,6,Dog,0,0,0.0,6,0.0,0.0
Chips & Queso,10,0,Dog,0,8,85.0,10,0.0,0.8
Chips & Queso W/ Pico,1,0,Dog,0,0,0.0,1,0.0,0.0
Chips & Snacks,1,15,Dog,0,0,0.0,1,0.0,0.0
Chips And Guac,2,16,Dog,0,1,124.0,2,0.0,0.5
Chips And Guacamole,2,0,Dog,0,1,30.0,2,0.0,0.5
Chips And Queso,3,0,Dog,0,3,72.0,3,0.0,1.0
Chocolate Mocha,136,1982,Star,4,36,2879.0,129,0.031007751937984496,0.27906976744186046
Choice Mimosa,243,2904,Star,6,15,700.0,223,0.026905829596412557,0.06726457399103139
Chopin,66,1069,Star,17,16,542.0,57,0.2982456140350877,0.2807017543859649
Cinco Tacos (3),9,102,Dog,1,4,556.0,7,0.14285714285714285,0.5714285714285714
Cincoro & Caviar,21,735,Star,0,0,0.0,1,0.0,0.0
Cincoro Añejo,47,1885,Star,2,1,56.0,21,0.09523809523809523,0.047619047619047616
Cincoro Blanco,130,3036,Star,3,9,357.0,44,0.06818181818181818,0.20454545454545456
Cincoro Gold,9,593,Puzzle,1,0,0.0,8,0.125,0.0
Cincoro Reposado,88,2572,Star,1,9,279.0,47,0.02127659574468085,0.19148936170212766
Cincoro Ultra Añejo,3,900,Puzzle,2,0,0.0,3,0.6666666666666666,0.0
Citadelle,22,316,Plowhorse,3,7,314.0,21,0.14285714285714285,0.3333333333333333
Clase Azul Añejo,3,255,Dog,0,0,0.0,1,0.0,0.0
Clase Azul Repo,957,42563,Star,22,88,32761.0,534,0.04119850187265917,0.1647940074906367
Claude Vialade,1,46,Dog,0,1,12.0,1,0.0,1.0
Clocked-In Marg,5,11,Dog,0,3,418.0,3,0.0,1.0
Cloudy Bay BTL,6,354,Dog,2,2,584.0,5,0.4,0.4
Cloudy Bay GL,190,2808,Star,3,42,5596.0,154,0.01948051948051948,0.2727272727272727
Cloudy Bay Sauv Blanc,12,1080,Star,8,4,62.0,12,0.6666666666666666,0.3333333333333333
Cocchi Americano,37,370,Plowhorse,37,0,0.0,37,1.0,0.0
Cocktail,2,20,Dog,0,0,0.0,2,0.0,0.0
Codigo Blanco,458,7559,Star,2,52,2004.0,328,0.006097560975609756,0.15853658536585366
Codigo Margarita,11,146,Dog,0,2,20.0,3,0.0,0.6666666666666666
Codigo Reposado,70,1156,Star,1,4,272.0,39,0.02564102564102564,0.10256410256410256
Codigo Rosa,16,242,Plowhorse,0,2,46.0,9,0.0,0.2222222222222222
Cointreau,3,36,Dog,1,0,0.0,2,0.5,0.0
Coke,860,2543,Star,39,129,33788.0,707,0.055162659123055166,0.18246110325318246
Comp,1,0,Dog,1,1,283.0,1,1.0,1.0
Confetti,1,40,Dog,0,0,0.0,1,0.0,0.0
Contraluz,222,3644,Star,1,27,1547.0,191,0.005235602094240838,0.14136125654450263
Corn,4,32,Dog,0,0,0.0,4,0.0,0.0
Corporate Charcuterie Board,6,1324,Puzzle,0,3,1044.0,4,0.0,0.75
Cosmopolitan,897,12008,Star,26,225,18509.0,837,0.03106332138590203,0.26881720430107525
Crackers,1,1,Dog,0,0,0.0,1,0.0,0.0
Cranberry Juice,1662,3245,Star,29,117,35201.0,738,0.03929539295392954,0.15853658536585366
"Cremant - JCB ""Caviar"", Bourgogne",11,825,Puzzle,3,2,50.0,11,0.2727272727272727,0.18181818181818182
Crispy Bacon,1,5,Dog,0,0,0.0,1,0.0,0.0
Cristalino Margarita,58,568,Star,3,0,0.0,39,0.07692307692307693,0.0
Crowan Reserve,1,16,Dog,0,0,0.0,1,0.0,0.0
Crown  Royal Black,14,244,Plowhorse,0,0,0.0,13,0.0,0.0
Crown Black,27,366,Plowhorse,0,4,5864.0,20,0.0,0.2
Crown Espresso Martini,8,112,Dog,0,0,0.0,7,0.0,0.0
Crown Peach,87,1170,Star,1,4,268.0,64,0.015625,0.0625
Crown Peach Royal Rider Whiskey Day,9,144,Dog,0,0,0.0,5,0.0,0.0
Crown Reserve,73,1272,Star,4,1,24.0,57,0.07017543859649122,0.017543859649122806
Crown Reserve OF,54,711,Star,2,8,185.0,47,0.0425531914893617,0.1702127659574468
Crown Royal,788,11711,Star,31,57,30083.0,644,0.04813664596273292,0.08850931677018634
Crown Royal 18 Extra Rare,5,193,Dog,1,0,0.0,5,0.2,0.0
Crown Royal 18 Yr,2,74,Dog,1,0,0.0,1,1.0,0.0
Crown Royal Black,14,236,Plowhorse,1,2,64.0,12,0.08333333333333333,0.16666666666666666
Crown espresso martini,10,120,Dog,0,4,48.0,8,0.0,0.5
Crudo,14,216,Plowhorse,1,4,218.0,13,0.07692307692307693,0.3076923076923077
Cup,1,1,Dog,0,0,0.0,1,0.0,0.0
Cute,1,0,Dog,0,0,0.0,1,0.0,0.0
Côtes de Provence - Avaline,12,468,Star,2,2,193.0,10,0.2,0.2
Côtes de Provence - Château Roubine,5,300,Dog,0,0,0.0,5,0.0,0.0
"Côtes de Provence - Miraval, MAGNUM",3,240,Dog,0,3,13770.0,3,0.0,1.0
DJ,10,3230,Puzzle,2,5,4178.0,10,0.2,0.5
DJ 2 Hrs,2,250,Dog,0,0,0.0,2,0.0,0.0
DJ 2 hours,1,200,Dog,0,1,607.0,1,0.0,1.0
DJ @ $125,1,359,Dog,0,1,500.0,1,0.0,1.0
Daiquiri,51,685,Star,6,14,823.0,48,0.125,0.2916666666666667
Decaf American,3,0,Dog,0,0,0.0,3,0.0,0.0
Decaf Cappuccino,2,0,Dog,0,0,0.0,2,0.0,0.0
Decaf Espresso,4,1,Dog,1,0,0.0,4,0.25,0.0
Decaf Latte,3,0,Dog,0,0,0.0,3,0.0,0.0
Deposit,1,250,Dog,0,0,0.0,1,0.0,0.0
Deposit August 16,1,100,Dog,0,0,0.0,1,0.0,0.0
Deposit Nov 1 2pm,1,100,Dog,0,0,0.0,1,0.0,0.0
Dessert Board,1,0,Dog,0,0,0.0,1,0.0,0.0
Devon,1,250,Dog,0,0,0.0,1,0.0,0.0
Diet Coke,480,1425,Star,7,85,8093.0,425,0.01647058823529412,0.2
Difference,1,200,Dog,0,0,0.0,1,0.0,0.0
Diplomatico Mantuano,525,8156,Star,8,42,1430.0,444,0.018018018018018018,0.0945945945945946
Diplomatico Planas,1929,24562,Star,12,112,10865.0,1614,0.007434944237918215,0.06939281288723669
Dirty Chai Martini,1322,19872,Star,13,221,12802.0,1253,0.010375099760574621,0.17637669592976857
Dom Perignon GL,4,520,Puzzle,2,0,0.0,3,0.6666666666666666,0.0
"Dom Pérignon, Brut '13",78,36905,Star,7,55,42801.0,79,0.08860759493670886,0.6962025316455697
"Dom Pérignon, Brut '15",8,5785,Puzzle,1,2,2051.0,7,0.14285714285714285,0.2857142857142857
"Dom Pérignon, LUMINOUS, Brut '12",33,27457,Star,2,10,4734.0,33,0.06060606060606061,0.30303030303030304
"Dom Pérignon, LUMINOUS, Rosé '08",16,23500,Star,0,0,0.0,15,0.0,0.0
Don Fulano,1,100,Dog,0,0,0.0,1,0.0,0.0
Don Fulano Blanco,49,811,Star,1,2,16.0,27,0.037037037037037035,0.07407407407407407
Don Fulano Reposado,15,270,Plowhorse,0,1,6.0,9,0.0,0.1111111111111111
Don Julio,1,14,Dog,0,0,0.0,1,0.0,0.0
Don Julio 1942,434,21464,Star,18,13,1322.0,263,0.06844106463878327,0.049429657794676805
Don Julio 70,2422,59185,Star,26,205,17633.0,1538,0.016905071521456438,0.13328998699609884
Don Julio Alma Miel,19,538,Star,1,1,124.0,13,0.07692307692307693,0.07692307692307693
Don Julio Blanco,464,6090,Star,15,61,3553.0,327,0.045871559633027525,0.18654434250764526
Don Julio Frozen,32,496,Star,1,1,88.0,27,0.037037037037037035,0.037037037037037035
Don Julio Rep No Paper Trail,34,544,Star,0,0,0.0,34,0.0,0.0
Don Julio Repo,5486,99111,Star,47,457,43095.0,3465,0.013564213564213565,0.1318903318903319
Door Cover $100,6,600,Puzzle,0,0,0.0,4,0.0,0.0
Door Cover $40,9,360,Dog,0,0,0.0,6,0.0,0.0
Door Cover $50,12,600,Star,0,0,0.0,10,0.0,0.0
Door Cover $60,15,900,Star,0,0,0.0,8,0.0,0.0
Dos Hombres,315,6031,Star,7,43,1432.0,256,0.02734375,0.16796875
Dos Hombres Tobala,19,952,Star,4,0,0.0,12,0.3333333333333333,0.0
"Dos XX, Lager",8770,53772,Star,89,887,111821.0,7721,0.011527004274057765,0.11488149203471053
Drink Ticket,2,1000,Puzzle,0,0,0.0,2,0.0,0.0
Drink Tickets,90,1130,Star,0,1,400.0,1,0.0,1.0
Dry Agenda,154,1800,Star,1,37,13063.0,145,0.006896551724137931,0.25517241379310346
E.H. Taylor,42,1239,Star,1,6,126.0,38,0.02631578947368421,0.15789473684210525
Eagle Rare 10yrs,204,7487,Star,9,24,1449.0,162,0.05555555555555555,0.14814814814814814
